Site,Elevation,Treatment,Soil_moisture,Date,Probe_Type,,,,,
1,794,A,5.9,24/06/16,HydroSense,,,,,
1,794,A,9.1,24/06/16,HydroSense,,,,,
1,794,A,8.5,24/06/16,HydroSense,,,,,
1,794,M,8.8,24/06/16,HydroSense,,,,,
1,794,M,14.8,24/06/16,HydroSense,,,,,
1,794,M,8.6,24/06/16,HydroSense,,,,,
1,794,T,6.3,24/06/16,HydroSense,,,,,
1,794,T,6.5,24/06/16,HydroSense,,,,,
1,794,T,4.1,24/06/16,HydroSense,,,,,
1,794,B,8.6,24/06/16,HydroSense,,,,,
1,794,B,11,24/06/16,HydroSense,,,,,
1,794,B,7.9,24/06/16,HydroSense,,,,,
2,922,A,1.4,24/06/16,HydroSense,,,,,
2,922,A,2.5,24/06/16,HydroSense,,,,,
2,922,A,2.2,24/06/16,HydroSense,,,,,
3,1049,A,15.2,24/06/16,HydroSense,,,,,
3,1049,A,22.4,24/06/16,HydroSense,,,,,
3,1049,A,15.8,24/06/16,HydroSense,,,,,
4,1175,A,15.9,24/06/16,HydroSense,,,,,
4,1175,A,13.9,24/06/16,HydroSense,,,,,
4,1175,A,15.9,24/06/16,HydroSense,,,,,
4,1175,M,8,24/06/16,HydroSense,,,,,
4,1175,M,10,24/06/16,HydroSense,,,,,
4,1175,M,6.4,24/06/16,HydroSense,,,,,
4,1175,T,12.7,24/06/16,HydroSense,,,,,
4,1175,T,21.9,24/06/16,HydroSense,,,,,
4,1175,T,21,24/06/16,HydroSense,,,,,
4,1175,B,12.8,24/06/16,HydroSense,,,,,
4,1175,B,12.1,24/06/16,HydroSense,,,,,
4,1175,B,11.6,24/06/16,HydroSense,,,,,
5,1299,A,37.6,24/06/16,HydroSense,,,,,
5,1299,A,45.3,24/06/16,HydroSense,,,,,
5,1299,A,3.8,24/06/16,HydroSense,,,,,
6,1425,A,33.6,24/06/16,HydroSense,,,,,
6,1425,A,43,24/06/16,HydroSense,,,,,
6,1425,A,23.3,24/06/16,HydroSense,,,,,
7,1551,A,43.2,24/06/16,HydroSense,,,,,
7,1551,A,36.6,24/06/16,HydroSense,,,,,
7,1551,A,41.3,24/06/16,HydroSense,,,,,
7,1551,M,18,24/06/16,HydroSense,,,,,
7,1551,M,19.6,24/06/16,HydroSense,,,,,
7,1551,M,17.1,24/06/16,HydroSense,,,,,
7,1551,T,40.3,24/06/16,HydroSense,,,,,
7,1551,T,46.8,24/06/16,HydroSense,,,,,
7,1551,T,46.5,24/06/16,HydroSense,,,,,
7,1551,B,41.9,24/06/16,HydroSense,,,,,
7,1551,B,50.2,24/06/16,HydroSense,,,,,
7,1551,B,34.1,24/06/16,HydroSense,,,,,
8,1684,A,58.2,24/06/16,HydroSense,,,,,
8,1684,A,53.7,24/06/16,HydroSense,,,,,
8,1684,A,41.8,24/06/16,HydroSense,,,,,
9,1799,A,30.4,24/06/16,HydroSense,,,,,
9,1799,A,40.2,24/06/16,HydroSense,,,,,
9,1799,A,32.2,24/06/16,HydroSense,,,,,
10,1926,A,36,24/06/16,HydroSense,,,,,
10,1926,A,22.7,24/06/16,HydroSense,,,,,
10,1926,A,37.9,24/06/16,HydroSense,,,,,
10,1926,M,39.8,24/06/16,HydroSense,,,,,
10,1926,M,45.9,24/06/16,HydroSense,,,,,
10,1926,M,46.3,24/06/16,HydroSense,,,,,
10,1926,T,44.7,24/06/16,HydroSense,,,,,
10,1926,T,45.1,24/06/16,HydroSense,,,,,
10,1926,T,33.5,24/06/16,HydroSense,,,,,
10,1926,B,27.9,24/06/16,HydroSense,,,,,
10,1926,B,25.2,24/06/16,HydroSense,,,,,
10,1926,B,42.2,24/06/16,HydroSense,,Site,Elevation,Treatment,Soil_moisture
1,794,A,7.7,13/08/16,HydroSense,,1,794,A,6.8
1,794,A,1.7,13/08/16,HydroSense,,1,794,A,5.4
1,794,A,0.9,13/08/16,HydroSense,,1,794,A,4.7
1,794,M,3.2,13/08/16,HydroSense,,1,794,M,6
1,794,M,4.4,13/08/16,HydroSense,,1,794,M,9.6
1,794,M,4.9,13/08/16,HydroSense,,1,794,M,6.75
1,794,T,0.2,13/08/16,HydroSense,,1,794,T,3.25
1,794,T,1.9,13/08/16,HydroSense,,1,794,T,4.2
1,794,T,6.5,13/08/16,HydroSense,,1,794,T,5.3
1,794,B,2,13/08/16,HydroSense,,1,794,B,5.3
1,794,B,1.3,13/08/16,HydroSense,,1,794,B,6.15
1,794,B,0.1,13/08/16,HydroSense,,1,794,B,4
2,922,A,10.9,13/08/16,HydroSense,,2,922,A,6.15
2,922,A,14.8,13/08/16,HydroSense,,2,922,A,8.65
2,922,A,8.9,13/08/16,HydroSense,,2,922,A,5.55
3,1049,A,10.9,13/08/16,HydroSense,,3,1049,A,13.05
3,1049,A,14.4,13/08/16,HydroSense,,3,1049,A,18.4
3,1049,A,8.9,13/08/16,HydroSense,,3,1049,A,12.35
4,1175,A,12.4,13/08/16,HydroSense,,4,1175,A,24.15
4,1175,A,7.6,13/08/16,HydroSense,,4,1175,A,20.75
4,1175,A,12.9,13/08/16,HydroSense,,4,1175,A,24.4
4,1175,M,2.6,13/08/16,HydroSense,,4,1175,M,5.3
4,1175,M,7.1,13/08/16,HydroSense,,4,1175,M,8.55
4,1175,M,6.3,13/08/16,HydroSense,,4,1175,M,6.35
4,1175,T,15.3,13/08/16,HydroSense,,4,1175,T,14
4,1175,T,27,13/08/16,HydroSense,,4,1175,T,24.45
4,1175,T,13.9,13/08/16,HydroSense,,4,1175,T,17.45
4,1175,B,5.6,13/08/16,HydroSense,,4,1175,B,9.2
4,1175,B,1,13/08/16,HydroSense,,4,1175,B,6.55
4,1175,B,1.9,13/08/16,HydroSense,,4,1175,B,6.75
5,1299,A,17.4,13/08/16,HydroSense,,5,1299,A,27.5
5,1299,A,12.8,13/08/16,HydroSense,,5,1299,A,29.05
5,1299,A,30.6,13/08/16,HydroSense,,5,1299,A,17.2
6,1425,A,18.3,13/08/16,HydroSense,,6,1425,A,25.95
6,1425,A,17.1,13/08/16,HydroSense,,6,1425,A,30.05
6,1425,A,15.5,13/08/16,HydroSense,,6,1425,A,19.4
7,1551,A,14.4,13/08/16,HydroSense,,7,1551,A,28.8
7,1551,A,10.1,13/08/16,HydroSense,,7,1551,A,23.35
7,1551,A,24.5,13/08/16,HydroSense,,7,1551,A,32.9
7,1551,M,12.3,13/08/16,HydroSense,,7,1551,M,15.15
7,1551,M,18.7,13/08/16,HydroSense,,7,1551,M,19.15
7,1551,M,11.5,13/08/16,HydroSense,,7,1551,M,14.3
7,1551,T,15.1,13/08/16,HydroSense,,7,1551,T,27.7
7,1551,T,1.6,13/08/16,HydroSense,,7,1551,T,24.2
